IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
141.147.162.204,8880,8880,FALSE,JP,Asia Pacific,Tokyo,69,11.59
158.101.150.74,8443,8443,TRUE,JP,Asia Pacific,Tokyo,90,11.54
131.186.35.189,2096,2096,TRUE,JP,Asia Pacific,Tokyo,101,11.53
141.147.168.159,8443,8443,TRUE,JP,Asia Pacific,Tokyo,125,11.48
141.147.167.44,2096,2096,TRUE,JP,Asia Pacific,Tokyo,79,11.47
138.3.223.50,8880,8880,FALSE,JP,Asia Pacific,Tokyo,86,11.47
151.145.68.104,8443,8443,TRUE,JP,Asia Pacific,Tokyo,91,11.39
138.3.217.167,587,587,TRUE,JP,Asia Pacific,Tokyo,106,11.37
168.138.212.80,443,443,TRUE,JP,Asia Pacific,Tokyo,146,11.36
149.28.21.106,443,443,FALSE,JP,Asia Pacific,Tokyo,75,11.36
64.176.36.17,443,443,TRUE,JP,Asia Pacific,Tokyo,82,11.33
140.238.50.134,443,443,TRUE,JP,Asia Pacific,Tokyo,109,11.3
141.98.197.101,11665,11665,TRUE,JP,Asia Pacific,Tokyo,80,11.29
23.106.132.54,443,443,TRUE,JP,Asia Pacific,Tokyo,145,11.28
158.101.152.6,2919,2919,FALSE,JP,Asia Pacific,Tokyo,89,11.24
168.138.198.7,27560,27560,TRUE,JP,Asia Pacific,Tokyo,88,11.23
138.2.48.109,26412,26412,FALSE,JP,Asia Pacific,Tokyo,69,11.23
202.84.53.85,19999,19999,TRUE,JP,Asia Pacific,Tokyo,92,11.21
64.110.101.31,8443,8443,TRUE,JP,Asia Pacific,Tokyo,130,11.19
8.216.121.234,51922,51922,FALSE,JP,Asia Pacific,Tokyo,71,11.18
103.106.228.126,2053,2053,TRUE,JP,Asia Pacific,Tokyo,112,11.14
210.231.178.90,443,443,FALSE,JP,Asia Pacific,Tokyo,90,11.13
217.142.250.195,587,587,FALSE,JP,Asia Pacific,Tokyo,86,11.13
109.123.231.212,443,443,FALSE,JP,Asia Pacific,Tokyo,91,11.12
138.2.49.197,587,587,TRUE,JP,Asia Pacific,Tokyo,99,11.1
168.138.197.147,12345,12345,TRUE,JP,Asia Pacific,Tokyo,105,11.1
152.69.192.40,57005,57005,FALSE,JP,Asia Pacific,Tokyo,80,11.09
13.230.34.30,443,443,TRUE,JP,Asia Pacific,Tokyo,120,11.09
217.142.230.253,587,587,TRUE,JP,Asia Pacific,Tokyo,82,11.07
45.32.55.253,443,443,TRUE,JP,Asia Pacific,Tokyo,94,11.04
141.147.185.63,443,443,TRUE,JP,Asia Pacific,Tokyo,91,11.03
210.138.37.53,443,443,FALSE,JP,Asia Pacific,Tokyo,91,10.94
138.2.32.76,15821,15821,TRUE,JP,Asia Pacific,Tokyo,140,10.94
45.11.1.118,44004,44004,FALSE,JP,Asia Pacific,Tokyo,84,10.93
168.138.192.16,54584,54584,TRUE,JP,Asia Pacific,Tokyo,129,10.87
45.77.9.114,443,443,FALSE,JP,Asia Pacific,Tokyo,90,10.84
138.2.18.82,8880,8880,TRUE,JP,Asia Pacific,Tokyo,188,10.83
103.75.118.144,2053,2053,FALSE,JP,Asia Pacific,Tokyo,69,10.81
140.83.59.158,15805,15805,TRUE,JP,Asia Pacific,Tokyo,111,10.8
150.230.5.34,45681,45681,TRUE,JP,Asia Pacific,Tokyo,83,10.78
172.104.127.132,443,443,TRUE,JP,Asia Pacific,Tokyo,90,10.78
140.238.38.81,587,587,FALSE,JP,Asia Pacific,Tokyo,89,10.77
